customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00090,Female,0,No,No,23,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Electronic check,30.39,698.97,Yes
CUST-00091,Male,0,Yes,No,1,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,120.0,120.0,Yes
CUST-00092,Female,0,Yes,No,8,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,18.0,144.0,Yes
CUST-00093,Male,1,Yes,No,55,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,18.0,990.0,Yes
CUST-00094,Female,0,No,Yes,46,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,18.0,828.0,Yes
CUST-00095,Male,0,No,Yes,15,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,18.0,270.0,Yes
CUST-00096,Female,0,Yes,No,28,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Electronic check,29.29,820.12,Yes
CUST-00097,Female,0,Yes,No,16,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,36.88,590.08,Yes
CUST-00098,Female,0,No,No,12,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,47.17,566.04,Yes
CUST-00099,Male,0,No,Yes,29,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,18.0,522.0,Yes
CUST-00100,Male,0,Yes,Yes,13,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,49.92,648.96,Yes
CUST-00101,Female,0,No,Yes,3,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,70.67,212.01,Yes
CUST-00102,Male,1,No,No,50,Yes,No,No,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,18.0,900.0,Yes
CUST-00103,Male,0,No,Yes,4,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,105.25,421.0,Yes
CUST-00104,Female,0,No,No,1,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,120.0,120.0,Yes
CUST-00105,Male,0,No,No,59,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Electronic check,18.0,1062.0,Yes
CUST-00106,Female,0,Yes,No,37,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,18.0,666.0,Yes
CUST-00107,Male,0,No,No,37,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,18.0,666.0,Yes
CUST-00108,Female,0,No,Yes,14,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,24.0,336.0,Yes
CUST-00109,Female,1,Yes,No,35,Yes,No,No,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,25.2,882.0,Yes
CUST-00110,Male,0,No,No,33,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,25.94,856.02,Yes
CUST-00111,Female,1,Yes,No,52,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,18.0,936.0,Yes
CUST-00112,Female,0,Yes,No,8,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,45.62,364.96,Yes
CUST-00113,Male,0,No,Yes,48,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,18.0,864.0,Yes
CUST-00114,Male,0,Yes,Yes,34,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,25.5,867.0,Yes
CUST-00115,Female,0,No,No,43,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,19.35,832.05,Yes
CUST-00116,Female,0,Yes,No,18,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,30.67,552.06,Yes
CUST-00117,Female,0,No,No,8,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,84.0,672.0,Yes
CUST-00118,Female,0,No,Yes,22,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,39.36,865.92,Yes
CUST-00119,Female,0,No,Yes,49,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,18.0,882.0,Yes
CUST-00120,Female,1,No,Yes,53,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,18.0,954.0,Yes
CUST-00121,Male,0,Yes,Yes,58,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,18.0,1044.0,Yes
CUST-00122,Female,0,No,No,37,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,26.62,984.94,Yes
CUST-00123,Female,0,No,No,40,Yes,No,No,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,18.0,720.0,Yes
CUST-00124,Female,0,No,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,18.0,990.0,Yes
CUST-00125,Male,0,No,No,28,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,18.0,504.0,Yes
CUST-00126,Female,0,Yes,Yes,46,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,18.0,828.0,Yes
CUST-00127,Female,0,No,No,31,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,18.0,558.0,Yes
CUST-00128,Male,0,Yes,No,32,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,21.38,684.16,Yes
CUST-00129,Male,0,Yes,No,44,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,18.0,792.0,Yes
CUST-00130,Male,1,Yes,No,11,Yes,No,No,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,31.27,343.97,Yes
CUST-00131,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Electronic check,111.25,890.0,Yes
CUST-00132,Male,0,Yes,Yes,2,Yes,No,No,No,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,120.0,240.0,Yes
CUST-00133,Male,0,Yes,Yes,18,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,28.72,516.96,Yes
CUST-00134,Male,0,No,No,25,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,26.32,658.0,Yes
CUST-00135,Female,0,No,Yes,5,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,120.0,600.0,No
CUST-00136,Female,0,No,Yes,46,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Electronic check,18.11,833.06,Yes
CUST-00137,Female,0,Yes,Yes,42,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,20.88,876.96,Yes
CUST-00138,Female,0,No,No,7,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,83.43,584.01,Yes
CUST-00139,Male,1,Yes,No,35,Yes,No,No,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,27.06,947.1,Yes
CUST-00140,Female,0,No,No,51,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,18.0,918.0,Yes
CUST-00141,Male,0,Yes,No,55,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,18.0,990.0,Yes
CUST-00142,Female,0,Yes,No,54,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,18.0,972.0,Yes
CUST-00143,Female,0,No,Yes,10,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,86.0,860.0,Yes
CUST-00144,Male,0,Yes,Yes,54,Yes,No,DSL,No,No,Yes,No,No,No,Two year,Yes,Electronic check,18.0,972.0,Yes
CUST-00145,Female,0,No,Yes,22,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,18.09,397.98,Yes
CUST-00146,Male,0,No,Yes,49,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,19.45,953.05,No
CUST-00147,Female,0,Yes,No,17,Yes,No,No,Yes,No,No,Yes,Yes,No,One year,Yes,Electronic check,44.76,760.92,Yes
CUST-00148,Female,1,No,No,15,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,51.33,769.95,Yes
CUST-00149,Female,0,No,No,16,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,18.0,288.0,Yes
CUST-00150,Male,0,No,No,14,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,26.71,373.94,Yes
CUST-00151,Female,0,Yes,No,42,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,18.0,756.0,Yes
CUST-00152,Male,0,Yes,Yes,23,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,18.0,414.0,Yes
CUST-00153,Male,0,No,Yes,14,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,42.43,594.02,No
CUST-00154,Male,0,No,Yes,33,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,18.0,594.0,Yes
CUST-00155,Female,0,Yes,No,59,Yes,No,No,Yes,Yes,No,Yes,No,No,One year,Yes,Electronic check,18.0,1062.0,Yes
CUST-00156,Male,1,Yes,Yes,49,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,19.12,936.88,Yes
CUST-00157,Male,1,Yes,No,58,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,18.0,1044.0,Yes
CUST-00158,Female,0,Yes,No,18,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,22.83,410.94,Yes
CUST-00159,Male,1,Yes,No,13,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,68.46,889.98,Yes
CUST-00160,Male,0,Yes,No,49,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,18.0,882.0,Yes
CUST-00161,Male,1,No,No,26,Yes,No,No,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,23.42,608.92,Yes
CUST-00162,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,18.0,486.0,Yes
CUST-00163,Male,0,No,No,49,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,18.0,882.0,Yes
CUST-00164,Male,0,Yes,Yes,31,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,29.03,899.93,Yes
CUST-00165,Male,0,No,Yes,40,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,18.0,720.0,Yes
CUST-00166,Male,0,Yes,Yes,39,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,18.0,702.0,Yes
CUST-00167,Female,0,Yes,No,9,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,59.67,537.03,Yes
CUST-00168,Male,0,No,Yes,59,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,18.0,1062.0,Yes
CUST-00169,Male,0,Yes,No,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,18.0,990.0,Yes
CUST-00170,Female,0,No,Yes,51,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,18.0,918.0,Yes
CUST-00171,Female,0,No,Yes,19,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,18.0,342.0,Yes
CUST-00172,Male,1,No,Yes,17,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,56.82,965.94,Yes
CUST-00173,Male,0,Yes,Yes,49,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,18.0,882.0,Yes
CUST-00174,Male,0,No,No,3,Yes,No,No,Yes,No,Yes,No,No,Yes,Two year,Yes,Electronic check,76.0,228.0,Yes
CUST-00175,Female,0,Yes,Yes,14,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,18.0,252.0,Yes
CUST-00176,Male,0,No,Yes,3,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,120.0,360.0,No
CUST-00177,Female,0,No,Yes,27,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,27.0,729.0,Yes
CUST-00178,Female,0,No,No,12,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,18.0,216.0,Yes
CUST-00179,Male,0,Yes,Yes,39,Yes,No,No,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,18.0,702.0,Yes
CUST-00180,Female,0,Yes,Yes,11,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Electronic check,77.64,854.04,Yes
CUST-00181,Male,0,Yes,Yes,2,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,120.0,240.0,Yes
